yr;school_id;class_id;class_name;min_rank;max_rank
2025;2220308;1572;Компютърна графика;381.25;471.25
2025;2221023;916;Чужди езици - ИтЕ интензивно, АЕ;381;445.5
2025;2211417;462;Моден дизайн - ИтЕ, АЕ;378.75;427.75
2025;2205119;4079;Икономическо развитие - АЕ интензивно;378.5;449
2025;2205119;1526;Природни науки - АЕ интензивно;378;429
2025;2222007;4814;Природни науки - БЗО, ХООС, АЕ интензивно, ФЕ;376.5;427
2025;2204030;1308;Природни науки - ИЕ интензивно, АЕ;374;458
2025;2221138;2451;Чужди езици - КитЕ интензивно, АЕ;373.5;441.25
2025;2222012;4446;Предприемачески - АЕ интензивно, НЕ;373;403
2025;2204134;1961;Природни науки - АЕ интензивно, Иврит;373;446
2025;2205105;2543;Екскурзоводско обслужване - ИтЕ интензивно, АЕ;371;433.5
2025;2221138;1354;Математически - АЕ интензивно, ИЕ;369.5;445
2025;2223431;738;Системно програмиране - АЕ;368.75;430
2025;2204030;2602;Природни науки - АЕ интензивно, ИЕ;368.5;419
2025;2224121;2647;Предприемачески - ИЕ, АЕ;368;432.5
2025;2222012;2215;Предприемачески - ФЕ интензивно, АЕ;367.5;433
2025;2204402;328;Компютърна техника и технологии - АЕ;367;413
2025;2205105;4826;Интериорен дизайн - ИтЕ интензивно, АЕ;365;454
2025;2206003;2914;Графичен дизайн - АЕ;363.25;406.75
2025;2202002;4702;Програмиране на изкуствен интелект - английски интензивно, втори чужд език испански;363;443
2025;2224121;4448;Обществени науки - АЕ, ИЕ;360.75;411.25
2025;2222012;2159;Природни науки - АЕ интензивно, НЕ;359;404.5
2025;2223055;5038;Програмиране на изкуствен интелект - АЕ;359;432.5
2025;2209019;4939;Предприемачески - НЕ интензивно, НорвЕ;358;422
2025;2204134;1968;Софтуерни и хардуерни науки - АЕ интензивно, Иврит;357;408.5
2025;2202002;4565;Програмиране на изкуствен интелект - английски интензивно, втори чужд език немски;357;435
2025;2223431;743;Приложно програмиране - АЕ;356;439.25
2025;2221138;2466;Софтуерни и хардуени науки - АЕ интензивно, КорЕ;352.5;422
2025;2209019;4941;Предприемачески - АЕ интензивно, ШвЕ;352.5;411.5
2025;2204402;317;Медицинска техника - НЕ;352;438
2025;2223055;2144;Софтуерни и хардуерни науки - АЕ интензивно, НЕ;351.5;415.5
2025;2209305;2904;Чужди езици - АЕ интензивно, НЕ или ИЕ;349;441.5
2025;2221093;2878;Обществени науки - АЕ интензивно, РЕ;349;397
2025;2204018;1642;"Хуманитарни науки - АрЕ интензивно, АЕ; БЕЛ и Фил";348.5;426.5
2025;2211021;3676;Предприемачески - ИЕ интензивно, АЕ;348.5;397.5
2025;2220029;2408;Софтуерни и хардуерни науки - АЕ интензивно;347.5;408.5
2025;2211021;906;Предприемачески - АЕ интензивно, ИЕ;347;425.5
2025;2209019;4940;Предприемачески - НЕ интензивно, ДатЕ;346.5;390
2025;2221093;2876;Обществени науки - РЕ интензивно, АЕ;342.5;467.75
